회사명,공고제목,직무분야,경력,학력,근무지,고용형태,마감일,수정일,공고URL
한국피자헛(유),2025년 신입/경력 수시채용 [본사/직영점],"프랜차이즈, 피자점, 경영기획, 사업기획, 재무기획, 데이터분석, 브랜드기획, 신사업기획, 전략기획, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, 공증, 문서작성, 소송·민사·등기, 저작권, 지적재산권, 사내변호사, 컴플라이언스, 특허담당, 경력관리, 노사관리, 복리후생, 인사교육, 4대보험, 결산, 관리회계, 더존, 법인결산, 원가회계, 재무회계, 전산회계, 전표입력, 회계감사, ERP운용, 계산서발행, 기업회계, 부가세신고, 세무신고, 세무기장, 세무조정, 연말정산, 결산, 재무기획, IPO, 통계·분석, 재무분석, 라이센싱, 브랜딩, 시장분석, 언론홍보, 기업홍보, 이벤트기획, 카페·블로그관리, 키워드광고, SNS마케팅, 바이럴마케팅, 키워드광고, 프로모션, 디지털마케팅, 배너광고, 제휴마케팅, SNS마케팅, 옥외광고, 프로모션, 기업홍보, 오프라인마케팅, 이벤트기획, 리테일MD, 매출관리, 상품기획, 상품입출고, 재고관리, VMD, AMD, 카페·블로그관리, 프로모션, 매체관리, SNS마케팅, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 대리점관리, 매출관리, 영업기획, 데이터분석, 영업전략, 메뉴개발, 고객응대, 매출관리, 샵마스터, 식품판매, 재고관리, 진열관리, 판매관리, 판매영업",신입·경력,학력무관,서울 영등포구 외,정규직,01/06(월),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46206787?rPageCode=SL&logpath=21&sn=6
㈜해커스어학원,2025년 해커스 교육그룹 수시 채용,"교재제작, 중국어학원, e러닝, 교재제작, 교재제작, 교정, 편집, 문서관리, 문서작성, 전산입력, 사이트관리, 서무, 자료조사, 행정, 더존, 문서관리, 문서작성, 자산관리, 전산입력, 사이트관리, 문서작성, 소송·민사·등기, 저작권, 지적재산권, 특허담당, 공증, 저작권, 지적재산권, 인사기획, 인사교육, 인사행정, 부가세신고, 세무신고, 세무기장, 세무조정, 연말정산, 결산, 외환관리, 입출금관리, 재무기획, 재무회계, 카페·블로그관리, 키워드광고, SNS마케팅, 바이럴마케팅, 키워드광고, 프로모션, 디지털마케팅, 배너광고, 제휴마케팅, SNS마케팅, 옥외광고, 프로모션, 기업홍보, 오프라인마케팅, 이벤트기획, 카페·블로그관리, 프로모션, SNS마케팅, 증강현실, 챗봇, SI개발, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 서버구축, 시스템운영, 데이터마이닝, 데이터관리, 시스템분석, 시스템설계, 정보보안, 클라이언트, SI개발, 시스템분석, 시스템설계, 펌웨어, 회로설계, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 웹마스터, 반응형웹, 웹표준·웹접근성, 교수설계, 교육기획, 교육콘텐츠개발, 교재개발, 영사기사, 촬영보조, 인코딩, 영상제작, 교정, 출판기획",신입·경력,초대졸↑,서울 서초구 외,정규직                 외,상시채용,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/45866979?rPageCode=SL&logpath=21&sn=6
(주)우아한형제들,각 부문별 경력/신입 인재영입,"고객관리, 네트워크관리, 빅데이터, 데이터관리, 웹표준·웹접근성, 거래처관리, IMC, UI·UX기획, 검증, 식품MD, SI개발, 영사기사, 영업기획, PL, 솔루션스아키텍트, 가맹점관리, 웹마스터, 딥러닝, 브랜딩, 시스템운영, 제안·컨설팅, PM, 데이터마이닝, 서버관리, 인공지능, UI·UX디자인, 기술영업, 리테일MD, 시스템운영, 정보보안, SI개발, 모바일App, 사업기획, 서버구축, 시스템분석, 모바일디자인, 앱기획, SI개발, 네트워크관리, 영상제작, SI개발, 매출관리, 시스템설계, 증강현실, 데이터분석, 면접·채용, 인터페이스, 전략기획, 자재구매, 전략기획, 클라우드개발자, 아키텍처, 인사행정, 챗봇, 납품영업, 서버구축, PO, UI·UX기획, 서비스기획, 서버관리, 클라우드아키텍트, 클라이언트, 검증, 자연어처리(NLP), 가맹영업, 국내영업, 모델링, 데이터분석, 행정",신입·경력,학력무관,서울 송파구,정규직                 외,상시채용,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/45324861?rPageCode=SL&logpath=21&sn=6
㈜아이센스,㈜아이센스 2025년 신입/경력 수시채용,"건강, 바이오, 의료기기, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, PM, PL, PO, 문서관리, 문서작성, 사이트관리, 서무, 자료조사, 행정, 송무담당, 공증, 소송·민사·등기, 저작권, 지적재산권, 사내변호사, 상표담당, 컴플라이언스, 특허담당, 송무담당, 광고기획, 브랜딩, 시장분석, 시장조사, 포지셔닝, PPL, 브랜드기획, 카페·블로그관리, 키워드광고, 바이럴마케팅, 키워드광고, 프로모션, IMC, 디지털마케팅, 배너광고, 제휴마케팅, SNS마케팅, SEO, 영상제작, 콘텐츠기획, SNS마케팅, SEO, 언론홍보, 프로모션, BTL, 기업홍보, 오프라인마케팅, 이벤트기획, 프로모션, 매체관리, SNS마케팅, 검증, 테스터, 상품입출고, 자재구매, 재고관리, 기타외국어, 영어, 일본어, 중국어, 해외마케팅, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 임베디드, 펌웨어, 회로설계, 생명공학, 전기·전자, 정보통신·IT, 제품개발, R&D, 금속·철강, 로봇설계, 반도체·LCD, 신소재, 연구·실험·기술, 제조·공정, 생산관리, 품질보증, ISO, 검증, 품질보증, 환경관리, ISO, 의료기기연구, 전시기획, 행사기획",신입·경력1년↑,초대졸↑,서울 서초구 외,정규직,01/15(수),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46188174?rPageCode=SL&logpath=21&sn=6
무림페이퍼㈜,[무림그룹] 2024년 12월 직무별 신입/경력 채용공고,"고객관리, 거래처관리, 재무회계, 유지보수, 품질보증, 영업기획, 가맹점관리, 검증, 신사업기획, 시설점검, 자금관리, 시스템운영, 신소재, 영업전략, 재무분석, 대리점관리, 정보통신·IT, HACCP, 제조·공정, 사업기획, 서버구축, 시스템분석, 전기점검, 거래선개발관리, 재무기획, 건설안전, 매출관리, 산업안전, 시스템설계, 전략기획, 입출금관리, 데이터분석, 제품개발, ISO, 서버관리, 경영기획, 네트워크관리, 생산기술, 환경관리, 기계조작, 금속, 목재·제지",신입·경력,대졸↑,서울 강남구 외,정규직                 외,01/14(화),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46187679?rPageCode=SL&logpath=21&sn=6
이비즈테크,[이비즈테크] 시스템 엔지니어(스토리지/서버/가상화/클라우드) 모집,"스토리지, 유지보수, 컴퓨터, 펌웨어, 하드웨어, 서버구축, 서버관리",신입·경력,초대졸↑,서울 마포구,정규직,02/02(일),13분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214417?rPageCode=SL&logpath=21&sn=6
컴퓨터수리,컴퓨터수리 데이터복구 기술을 지속적으로 업그레이드 하고싶은 팀원모집,"유지보수, 컴퓨터AS, A·S수리, 기술지원, 노트북AS, 시스템운영, A·S수리, 하드웨어, 컴퓨터수리, 서버구축, 설치, 기술지원, 시스템설계, 컴퓨터, AS, 노트북수리, 네트워크관리, 유지보수, 유지보수",경력무관,학력무관,서울 전지역 외,정규직                 외,01/06(월),14분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214847?rPageCode=SL&logpath=21&sn=6
인터넷밸리㈜,00증권wts(웹사이트매매)운영,SI,경력6년↑,학력무관,서울 서초구,프리랜서,모레마감,19분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214782?rPageCode=SL&logpath=21&sn=6
다움성형외과의원,다움성형외과 홈페이지 관리자 채용 공고 [강남역],"홈페이지, 성형외과, 웹마스터",경력1년↑,학력무관,서울 강남구,정규직                 외,02/01(토),22분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46209522?rPageCode=SL&logpath=21&sn=6
㈜심플키,Unix 시스템 Admin(운영자) 정규 채용,"시스템 Admin. 업무, 유지보수, 시스템운영, 하드웨어, 서버구축, 시스템분석, Unix, Admin, 시스템설계, 펌웨어, 설치, 컴퓨터, 서버관리, 기술지원, 유지보수",경력6년↑,초대졸↑,서울 중구,정규직,01/20(월),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46147320?rPageCode=SL&logpath=21&sn=6
㈜에스티에이테스팅컨설팅,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집,"검증, QA, 소프트웨어테스트, 웹테스트, SW테스트, 테스트 케이스 설계, ㈜에스티에이테스팅컨설팅, 모바일앱개발, 소프트웨어개발, 솔루션, 검증, 검증, 웹마스터, 테스터",경력1년↑,초대졸↑,서울 광진구 외,정규직,01/31(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46098350?rPageCode=SL&logpath=21&sn=6
콘센트릭스서비스코리아(유),데이터분석 인턴 (정규직전환형 ),데이터분석,신입,학력무관,서울 강남구,인턴,01/31(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46208984?rPageCode=SL&logpath=21&sn=6
성신여자대학교,성신여자대학교 일반직원 (9급) 채용 공고,"문서관리, 문서작성, 전산입력, 사이트관리, 서무, 자료조사, 행정, 송무담당, 더존, 문서관리, 문서작성, 자산관리, 전산입력, 사이트관리, 4대보험, 결산, 관리회계, 더존, 법인결산, 부가세신고, 원가회계, 재무회계, 전산회계, 전표입력, 회계감사, CFO, ERP운용, 계산서발행, 기업회계, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 기술지원, 설치, 유지보수, 기계조작, 영어",신입·경력2년↑,학력무관,서울 성북구,정규직,01/09(목),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46208846?rPageCode=SL&logpath=21&sn=6
㈜마음사랑,정보보안 담당자 채용,정보보안,경력3년↑,학력무관,서울 성동구,정규직                 외,01/10(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46179132?rPageCode=SL&logpath=21&sn=6
㈜마음사랑,React 프론트엔드 개발자 경력 채용,,경력3년↑,학력무관,서울 성동구,정규직                 외,01/10(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46178890?rPageCode=SL&logpath=21&sn=6
신성통상㈜,신성통상(주) WEB FRONT 개발자 경력채용(DP프론트개발팀),"HTML, Java, E-Commerce, postgresql, Spring Framwork, 남성의류, 여성의류, 유아의류, 재단·수선·미싱, 직물·우븐·데님, 인터페이스",경력7년↑,대졸↑,서울 강동구,정규직,02/02(일),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46211418?rPageCode=SL&logpath=21&sn=6
㈜진학사,[진학사] AI 팀 인재 채용 (채용연계형 인턴),"빅데이터, 딥러닝, 인공지능, 챗봇, AI",경력무관,대졸↑,서울 종로구,인턴,01/12(일),28분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214664?rPageCode=SL&logpath=21&sn=6
컴퓨터수리,[재택근무] 컴퓨터수리 / 설치 / 조립에 보람을 느끼는 컴퓨터AS 엔지니어,"스토리지, 컴퓨터AS, 검증, 데이터복구, A·S수리, 기술지원, 시스템설계, 회로설계, 하드웨어, 컴퓨터수리, 설치, 시스템분석, 펌웨어, 컴퓨터유지보수, 컴퓨터, AS, 노트북수리, 유지보수, 유지보수",경력무관,학력무관,서울 전지역 외,정규직                 외,01/06(월),29분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214650?rPageCode=SL&logpath=21&sn=6
지머니트랜스㈜,[핀테크][경력] QA팀 엔지니어 모집,"금융, 핀테크, Android, IOS, Mobile, 금융, 검증",경력1년↑,초대졸↑,서울 종로구,정규직,02/28(금),32분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46198322?rPageCode=SL&logpath=21&sn=6
㈜스타랩스,[스타랩스] AWS 클라우드 AA / TA / SE 채용,"소프트웨어개발, 솔루션, BigData, SI, SM, 시스템분석, 시스템설계, 시스템운영, SI개발, 네트워크관리, 서버구축, 시스템운영, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트",경력,학력무관,서울 강남구,정규직                 외,01/12(일),32분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46106215?rPageCode=SL&logpath=21&sn=6
컴퓨터수리,네트워크서버 설치 및 컴퓨터AS 엔지니어 센터장 모십니다. [재택환영],"스토리지, 유지보수, 컴퓨터AS, A·S수리, 기술지원, 방화벽, 노트북AS, 하드웨어, 컴퓨터수리, 설치, 보안관제, 정보보안, 컴퓨터, AS, 노트북수리, 암호화폐, 유지보수, 네트워크관리, 유지보수",경력무관,학력무관,서울 전지역 외,정규직                 외,01/06(월),32분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214619?rPageCode=SL&logpath=21&sn=6
㈜크레이버코퍼레이션,[Craver] 글로벌 뷰티/유통사업부 네트워크 및 정보보안 경력직 채용,"방화벽, 시스템운영, 시스템운영, 서버구축, 시스템분석, 네트워크관리, 정보보안, 서버구축, 서버관리, 네트워크관리, 네트워크관리",경력3년↑,학력무관,서울 강남구,정규직,02/28(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46192099?rPageCode=SL&logpath=21&sn=6
㈜경동하우징,AI를 이용한 업무개선 담당자 모집,"시공관리, 인공지능, 공무, 건설안전",경력무관,학력무관,서울 영등포구,정규직,02/01(토),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46204834?rPageCode=SL&logpath=21&sn=6
CJ 4DPLEX,[CJ그룹 계열사] CJ 4DPLEX 보안 정책기획/운영/관리 경력직 채용,"문서작성, 컴플라이언스, 저작권, 펌웨어, 품질보증, 자료조사, 방화벽, 테스터, 검증, 문서작성, 웹마스터, 지적재산권, 시스템분석, 시스템운영, 데이터분석, 시스템운영, 정보보안, SI개발, 사업기획, 서버구축, 시스템분석, 사내변호사, 컴플라이언스, 네트워크관리, 통계·분석, 클라이언트, SI개발, 보안관제, 시스템설계, 전략기획, 문화기획, 정보보안, 사내변호사, 아키텍처, 서버구축, 시스템설계, ISO, 핀테크, 경영기획, 서버관리, 암호화폐, 검증, 경영기획, 네트워크관리, 저작권, 지적재산권, 네트워크관리, 송무담당",경력3년↑,대졸↑,서울 용산구,정규직,01/16(목),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46206911?rPageCode=SL&logpath=21&sn=6
㈜스타랩스,[스타랩스] AWS 클라우드 TA 채용,"모바일앱개발, 소프트웨어개발, 솔루션, 시스템분석, 시스템설계, 네트워크관리, 서버구축, 시스템운영, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트",경력무관,학력무관,서울 강남구,정규직                 외,01/26(일),32분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46178810?rPageCode=SL&logpath=21&sn=6
㈜스타랩스,[스타랩스] JAVA 웹개발자 중/고/특급 채용,"소프트웨어개발, 솔루션, BigData, SI, SM",신입·경력,학력무관,서울 강남구,정규직,01/26(일),33분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46178816?rPageCode=SL&logpath=21&sn=6
㈜케이믹글로벌,JAVA 서버 프로그래밍 개발자 채용 (경력 2년이상),,경력2년↑,학력무관,서울 성동구,정규직,02/09(일),33분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46089588?rPageCode=SL&logpath=21&sn=6
컴퓨터수리,고객관리 및 유치에 자신있는 컴퓨터AS 컴퓨터수리기사 엔지니어 팀원 모십,"스토리지, 유지보수, 컴퓨터AS, 데이터복구, A·S수리, 기술지원, 노트북AS, 고장점검, A·S수리, 하드웨어, 컴퓨터수리, 설치, 네트워크관리, 기술지원, 컴퓨터, AS, 노트북수리, 유지보수, 유지보수",경력무관,학력무관,서울 전지역 외,정규직                 외,01/06(월),34분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214599?rPageCode=SL&logpath=21&sn=6
㈜다임즈,Web 개발 및 유지보수,"소프트웨어개발, 솔루션, BigData, ISP, SI",경력5년↑,초대졸↑,서울 구로구,정규직,01/31(금),36분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46133886?rPageCode=SL&logpath=21&sn=6
㈜파인씨앤아이,웹 프론트엔드 개발자 구인,"웹 프론트엔드 개발자, 소프트웨어개발, 솔루션, BigData, OLAP",경력5년↑,초대졸↑,서울 송파구,정규직,01/08(수),38분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46213472?rPageCode=SL&logpath=21&sn=6
롯데이노베이트㈜,[롯데이노베이트] STT AI(음성AI) 3-12년 경력사원 채용,"모바일앱개발, 음성인식, 솔루션, BI, 딥러닝, 인공지능, asp, 소프트웨어개발, 자연어처리(NLP), AI, 모델링",경력3년↑,대졸↑,서울 금천구,정규직,01/19(일),39분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214545?rPageCode=SL&logpath=21&sn=6
㈜엑스페릭스,SW개발자 (USB Device SDK 개발),"전기, 시스템분석, 시스템설계, SI개발",경력3년↑,대졸↑,서울 송파구,정규직,02/01(토),39분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46213219?rPageCode=SL&logpath=21&sn=6
